Anno,Austria,France,Germany,Romania,Spain,Switzerland,United Kingdom of Great Britain and Ireland,United States of America
1919,0.0,0.016454281243013638,0.0,0.0041135703107534095,0.0,0.0009389671361502348,0.0037558685446009393,0.0018779342723004697
1920,0.0033670033670033673,0.012173376962109357,0.0,0.0009389671361502348,0.0,0.004305970503153602,0.010489875278607674,0.0018779342723004697
1921,0.0033670033670033673,0.01448819177692417,0.0,0.0009389671361502348,0.0,0.004305970503153602,0.010489875278607674,0.0018779342723004697
1922,0.004917390963902592,0.010732323232323232,0.0,0.0,0.0,0.004917390963902592,0.006734006734006735,0.004651162790697674
1923,0.0015503875968992248,0.003783243596018926,0.002936857562408223,0.0,0.0014684287812041117,0.003018816378103336,0.0,0.006119591571901786
1924,0.0015503875968992248,0.006724670568326319,0.0029368575624082235,0.0008760402978537013,0.0019064489301309623,0.003018816378103336,0.0030661410424879534,0.006557611720828637
1925,0.0,0.007904611571276171,0.0029368575624082235,0.0008760402978537013,0.0019064489301309623,0.0014684287812041117,0.0030661410424879534,0.0019064489301309623
1926,0.0008888888888888888,0.010245706599595868,0.0,0.0008760402978537013,0.0010729407838474855,0.0007619047619047619,0.0037010616774085883,0.0032316709425776447
1927,0.0017897897897897897,0.007563467386476236,0.0,0.0,0.0019219219219219219,0.0014054054054054056,0.0010210210210210198,0.0031797511797511794
1928,0.0026782837924552716,0.006975855718636705,0.0,0.0,0.0020700042556995022,0.0019977347405157266,0.0014652680223537608,0.0034759158473063405
1929,0.001789394903566383,0.005554106503191214,0.0,0.0,0.0014350836207788675,0.0017133848974266285,0.0022630121438801175,0.002114929810102538
1930,0.0008884940026654821,0.0029801039291886405,0.0,0.0,0.00014808233377758032,0.0017096795194410201,0.0031565022888098014,0.001728829424002152
1931,0.0012254901960784314,0.004838754986235182,0.0,0.0,0.0004084967320261438,0.0015258469163568426,0.003529248751529348,0.002249658220499279
1932,0.0014973770911300898,0.004354188657518472,0.00027188689505165854,0.0005437737901033171,0.0004084967320261438,0.0018639526826961545,0.0034560184703406487,0.002720201729413897
1933,0.002208867663880001,0.0055992971598308175,0.0004497595382391363,0.0005437737901033171,0.001653605234338488,0.0012241574171811193,0.003599409084810401,0.0075227630954757966
1934,0.0009833774678015695,0.0038973804380859393,0.000949135318513793,0.0005437737901033171,0.001744484282587001,0.0008156606851549755,0.005778670302406054,0.009702024313071449
1935,0.0007114905727499111,0.007148811347982061,0.0006772484234621345,0.0,0.002174037547191812,0.0,0.006567002150171817,0.01166479542915314
1936,0.0,0.00843534841528997,0.0038749032064349944,0.0,0.0009289290448794677,0.0,0.006831784717752164,0.007706115919631325
1937,0.0005787037037037037,0.010869155115248356,0.008005157055789967,0.0,0.03254760882016037,0.00028935185185185184,0.006150344850919038,0.01194365753427968
1938,0.0020686994465730097,0.005927372474686238,0.008430870125181197,0.0038314176245210726,0.055532274372073226,0.00028935185185185184,0.004215435062590598,0.009354817361010072
1939,0.009505269875269423,0.005582953501741401,0.006367678657026109,0.0042688629438561556,0.057500778309081096,0.00028935185185185184,0.0036212846478481365,0.009604548802807695
1940,0.013576956472180235,0.006552217328348277,0.004063244177703738,0.004601033679614335,0.0293687715826237,0.0003321707357581797,0.002469067408186951,0.005858545231972286
1941,0.015266610967784698,0.007399244206477251,0.005757297933961686,0.0007696160550932628,0.006484494472518326,0.0005971415889643271,0.002256210873491336,0.006966143702653921
1942,0.007830040539088284,0.005890213608445444,0.007157745970530868,0.0003321707357581797,0.006211480532119472,0.001953533586251543,0.0018407935737972357,0.007228922401603429
1943,0.006273231058272685,0.0017380794114681974,0.00483255082022361,0.0,0.0022254317030213147,0.0023947580554430927,0.0006781959986436069,0.003741129676142542
1944,0.004168849637003218,0.008205077719073715,0.0048633216289830335,0.0,0.002770758813813321,0.0021297872022369452,0.004979271267460811,0.009958542534921623
1945,0.008270011632902056,0.018463313709493678,0.002150537634408602,0.002961950330371383,0.008366223476580012,0.002823976202899148,0.013642610926142334,0.02022210952601445
1946,0.007436907251983334,0.03150452393380249,0.004237131270298012,0.002961950330371383,0.03636135475809627,0.0025722294069217715,0.025292758726524877,0.034654382174249536
1947,0.009867055898131485,0.02652703673217417,0.002723942265589857,0.002961950330371383,0.03624210888544264,0.0051216239257235565,0.044573582756624174,0.03306306656332004
1948,0.0064285844257581624,0.01691598579016163,0.005374704359691912,0.03445990722332671,0.028951154226066925,0.003071042927774137,0.042521642858079696,0.03801037066307784
1949,0.004168107986877967,0.031366184500560716,0.0032881107238025005,0.03445990722332671,0.0009560229445506693,0.0025493945188017845,0.09272716516078994,0.07512448976742007
1950,0.01205870191953691,0.05160881277378173,0.002650762094102054,0.03445990722332671,0.0,0.005698005698005698,0.12897432569093326,0.13079171751877783
1951,0.011396011396011397,0.09450111880156063,0.0,0.0,0.0,0.005698005698005698,0.14889561428589412,0.18225166531499373
1952,0.018463149205198676,0.08349969808828972,0.004711425206124852,0.0,0.001177856301531213,0.006875861999536912,0.09881850719811346,0.14483954918079098
1953,0.009365988383899923,0.07909847989396805,0.01045855164290646,0.0,0.004626132163600179,0.001177856301531213,0.05048370024261684,0.10629941753721106
1954,0.010116739134650674,0.05139730933565465,0.011960053144407963,0.0,0.004626132163600179,0.004180859304534216,0.028528071144130602,0.04953346791411858
1955,0.005456340194296126,0.052957862630463155,0.007248627938283111,0.0,0.004651645296485331,0.005409741871835735,0.022766355300900303,0.0570598421152386
1956,0.009506695968789832,0.053614677080381055,0.0015015015015015015,0.0,0.005965274196321128,0.005409741871835735,0.014446705601940259,0.06466794282678759
1957,0.01853372299581686,0.056653716119420085,0.0035555555555555553,0.0,0.005965274196321128,0.01218451664661051,0.01896922812446278,0.07296223712108188
1958,0.017933668860498127,0.05576667957155762,0.0035555555555555553,0.0,0.009278616595689767,0.011584462511291782,0.02017911988643696,0.07027177700348432
1959,0.014109715036544304,0.05860458240946046,0.004397306397306397,0.0,0.006200213517286689,0.014951465878295147,0.01952976923708631,0.04862675535846267
1960,0.007237707287824228,0.05980452706145991,0.0008417508417508418,0.0016604400166044002,0.01159664357125099,0.009324788142028369,0.01597864152157503,0.032807189840267016
1961,0.0063355906230573985,0.062089235571141106,0.0012940348761244283,0.003921860188472333,0.011150488046828264,0.010684091649129474,0.011013322759386957,0.01926440855085304
1962,0.007834482967020164,0.048252003424049804,0.0024643564689812323,0.006604623434615861,0.02288080259404422,0.009999851528269635,0.013182905914885606,0.01654099737673764
1963,0.008302532101255313,0.04436559903295904,0.0024643564689812323,0.0062937110833286005,0.024232010866665613,0.008547806817392914,0.015053421844521941,0.022251700996597717
1964,0.01667440188037456,0.05212826990863631,0.0032489308143231685,0.004032290911460667,0.030056321595027514,0.012184539665213179,0.015265718432085053,0.016824292584114674
1965,0.014850477033161466,0.060581630335222236,0.0023369683907166227,0.004649857698320439,0.02104294540831428,0.01610243648507625,0.01607143280633938,0.012747023690223272
1966,0.011476657869868618,0.043712534518757985,0.020855486909235138,0.0033003300330033004,0.014295307081728582,0.013403381154441974,0.007974266814436545,0.0033003300330033004
1967,0.0022002200220022,0.02602545968882602,0.019618628529519618,0.0033003300330033004,0.013924249567813926,0.016124469589816125,0.015024359578815025,0.012824139556812823
1968,0.0,0.05119047619047618,0.018518518518518517,0.0,0.03035714285714286,0.009523809523809523,0.009523809523809523,0.051190476190476196
1969,0.0,0.09285714285714286,0.0,0.0,0.051190476190476196,0.009523809523809523,0.030357142857142857,0.07202380952380953
1970,0.0,0.13333333333333333,0.0,0.016666666666666666,0.041666666666666664,0.0,0.0375,0.12916666666666668
1971,0.0,0.11317204301075268,0.0,0.027419354838709678,0.024417562724014342,0.007168458781362008,0.04108422939068101,0.10900537634408602
1972,0.0,0.18261648745519712,0.0,0.027419354838709678,0.0035842293906810084,0.007168458781362008,0.020250896057347673,0.12520908004778972
1973,0.0,0.26594982078853047,0.0,0.01075268817204301,0.0035842293906810084,0.007168458781362008,0.003584229390681004,0.12520908004778972
1974,0.0,0.4666666666666666,0.0,0.0,0.0,0.0,0.0,0.1037037037037037
1975,0.0,0.4222222222222222,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
1977,0.0,0.2926984126984127,0.03809523809523809,0.0,0.0,0.0,0.0,0.0019047619047619048
1978,0.0,0.10523132475739111,0.03809523809523809,0.036334913112164295,0.0,0.0,0.0,0.0019047619047619048
1979,0.03428571428571429,0.040469419995486346,0.03809523809523809,0.036334913112164295,0.0,0.0,0.0,0.0019047619047619048
1980,0.03428571428571429,0.036659896185962534,0.0,0.036334913112164295,0.0,0.0,0.0,0.0
1981,0.03428571428571429,0.0019047619047619048,0.0,0.0,0.0,0.0,0.0,0.0
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.0,0.0,0.012820512820512822,0.0
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.012820512820512822,0.0
1985,0.0,0.002976190476190476,0.0,0.0,0.0,0.0,0.012820512820512822,0.0
1986,0.0,0.002976190476190476,0.0,0.0,0.0,0.0,0.0,0.0
1987,0.0,0.002976190476190476,0.0,0.0,0.0,0.0,0.0,0.0
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,0.0,0.012121212121212121,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.01639471639471639,0.0,0.0,0.0,0.0,0.0,0.004273504273504273
1992,0.0,0.021859197269033334,0.0,0.0,0.0018214936247723178,0.0018214936247723133,0.0,0.004273504273504273
1993,0.0,0.015939535535418114,0.0,0.0,0.0018214936247723178,0.0018214936247723133,0.0,0.015126217451798846
1994,0.0,0.01907343866932125,0.0,0.0,0.0018214936247723178,0.0018214936247723133,0.0,0.010852713178294573
1995,0.0,0.013608957795004309,0.0,0.0,0.0,0.0,0.0016260162601626016,0.010852713178294573
1996,0.009523809523809523,0.007407407407407408,0.0,0.0,0.0,0.009523809523809523,0.0016260162601626016,0.0
1997,0.009523809523809523,0.0,0.0,0.0,0.0,0.009523809523809523,0.0016260162601626016,0.0
